id,start_date,start_time,end_date,end_time,Progress,duration,UserLanguage,Allocate_IG_M_1,Allocate_IG_M_2,Allocate_OG_M_1,Allocate_OG_M_2,Allocate_TG_M_1,Allocate_TG_M_2,Allocate_IG_P_1,Allocate_IG_P_2,Allocate_OG_P_1,Allocate_OG_P_2,Allocate_TG_P_1,Allocate_TG_P_2,Allocate_IG_Nat_1,Allocate_IG_Nat_2,Allocate_OG_Nat_1,Allocate_OG_Nat_2,Allocate_TG_Nat_1,Allocate_TG_Nat_2,Q_Language,nationality,currency,conversionrate,dvorder,mingroup,ingroupletter,outgroupletter,role,type_group,playedwith,gamepayoff,totalpayoff,totalmoney
p144,4/4/22,3:39:00,4/4/22,3:47:47,100,526,EN-GB,15,5,15,5,10,10,NA,NA,NA,NA,NA,NA,15,5,12,8,12,8,EN-GB,British,£,0.067,allofirst,firstletter,L,N,recipient,nat_in_out,another national group,10,10,0.67
p145,4/4/22,3:39:16,4/4/22,3:48:00,100,523,EN-GB,13,7,18,2,15,5,NA,NA,NA,NA,NA,NA,15,5,18,2,13,7,EN-GB,British,£,0.067,attfirst,firstletter,L,N,recipient,nat_in_out,another national group,10,10,0.67
p146,4/4/22,3:38:00,4/4/22,3:48:38,100,637,EN-GB,NA,NA,NA,NA,NA,NA,20,0,20,0,20,0,20,0,20,0,10,10,EN-GB,British,£,0.067,allofirst,secondletter,M,K,allocator,min_out,Group K,20,20,1.34
p147,4/4/22,3:40:47,4/4/22,3:48:47,100,480,EN-GB,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,EN-GB,British,£,0.067,attfirst,firstletter,K,M,allocator,min_in,Group K,10,10,0.67
p148,4/4/22,3:34:15,4/4/22,3:48:56,100,881,EN-GB,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,EN-GB,British,£,0.067,allofirst,firstletter,P,S,allocator,min_out,Group S,10,10,0.67
p149,4/4/22,3:36:14,4/4/22,3:49:02,100,768,EN-GB,20,0,20,0,12,8,NA,NA,NA,NA,NA,NA,20,0,20,0,10,10,EN-GB,British,£,0.067,allofirst,firstletter,P,S,recipient,nat_out_self,another national group,10,10,0.67
p150,4/4/22,3:34:19,4/4/22,3:49:12,100,892,EN-GB,15,5,15,5,15,5,NA,NA,NA,NA,NA,NA,14,6,16,4,15,5,EN-GB,British,£,0.067,attfirst,firstletter,P,S,allocator,min_out,Group S,15,15,1.005
p151,4/4/22,3:42:17,4/4/22,3:49:18,100,421,EN-GB,0,20,10,10,10,10,NA,NA,NA,NA,NA,NA,10,10,10,10,20,0,EN-GB,British,£,0.067,attfirst,firstletter,L,N,recipient,nat_out_self,another national group,10,10,0.67
p152,4/4/22,3:41:52,4/4/22,3:49:29,100,456,EN-GB,NA,NA,NA,NA,NA,NA,20,0,20,0,10,10,20,0,20,0,10,10,EN-GB,British,£,0.067,allofirst,secondletter,N,L,allocator,nat_in,your national group,20,20,1.34
p153,4/4/22,3:36:03,4/4/22,3:49:30,100,806,EN-GB,12,8,18,2,18,2,NA,NA,NA,NA,NA,NA,12,8,18,2,12,8,EN-GB,British,£,0.067,attfirst,firstletter,L,N,recipient,nat_in_out,another national group,10,10,0.67
p154,4/4/22,3:42:15,4/4/22,3:49:39,100,444,EN-GB,NA,NA,NA,NA,NA,NA,18,2,18,2,10,10,15,5,18,2,19,1,EN-GB,British,£,0.067,allofirst,secondletter,S,P,allocator,nat_out,another national group,18,18,1.206
p155,4/4/22,3:30:35,4/4/22,3:49:49,100,1154,EN-GB,13,7,15,5,10,10,NA,NA,NA,NA,NA,NA,13,7,13,7,12,8,EN-GB,British,£,0.067,allofirst,firstletter,K,M,recipient,nat_out_self,another national group,10,10,0.67
p156,4/4/22,3:22:47,4/4/22,3:49:55,100,1628,EN-GB,10,10,15,5,10,10,NA,NA,NA,NA,NA,NA,10,10,15,5,15,5,EN-GB,British,£,0.067,attfirst,firstletter,K,M,recipient,nat_in_out,another national group,10,10,0.67
p157,4/4/22,3:37:12,4/4/22,3:50:00,100,768,EN-GB,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,EN-GB,British,£,0.067,allofirst,firstletter,K,M,recipient,nat_out_self,another national group,10,10,0.67
p158,4/4/22,3:40:31,4/4/22,3:50:05,100,574,EN-GB,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,10,10,10,10,10,10,EN-GB,British,£,0.067,allofirst,secondletter,N,L,allocator,min_out,Group L,10,10,0.67
p159,4/4/22,3:40:37,4/4/22,3:50:05,100,568,EN-GB,NA,NA,NA,NA,NA,NA,15,5,18,2,15,5,12,8,12,8,14,6,EN-GB,British,£,0.067,allofirst,secondletter,J,H,allocator,nat_in,your national group,12,12,0.804
p160,4/4/22,3:39:55,4/4/22,3:50:15,100,620,EN-GB,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,EN-GB,British,£,0.067,attfirst,firstletter,K,M,recipient,nat_in_out,another national group,10,10,0.67
p161,4/4/22,3:40:23,4/4/22,3:50:37,100,614,EN-GB,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,10,10,10,10,10,10,EN-GB,British,£,0.067,attfirst,secondletter,J,H,allocator,nat_out,another national group,10,10,0.67
p162,4/4/22,3:38:50,4/4/22,3:50:40,100,709,EN-GB,NA,NA,NA,NA,NA,NA,15,5,10,10,10,10,15,5,15,5,10,10,EN-GB,British,£,0.067,allofirst,secondletter,M,K,recipient,nat_out_self,another national group,10,10,0.67
p163,4/4/22,3:28:14,4/4/22,3:50:42,100,1347,EN-GB,12,8,12,8,10,10,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,EN-GB,British,£,0.067,allofirst,firstletter,H,J,allocator,min_in,Group H,12,12,0.804
p164,4/4/22,3:38:14,4/4/22,3:51:29,100,794,EN-GB,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,10,10,10,10,10,10,EN-GB,British,£,0.067,attfirst,secondletter,S,P,recipient,nat_in_out,another national group,10,10,0.67
p165,4/4/22,3:38:34,4/4/22,3:51:29,100,774,EN-GB,20,0,20,0,20,0,NA,NA,NA,NA,NA,NA,20,0,20,0,20,0,EN-GB,British,£,0.067,allofirst,firstletter,L,N,recipient,nat_out_self,another national group,10,10,0.67
p166,4/4/22,3:42:24,4/4/22,3:51:43,100,558,EN-GB,NA,NA,NA,NA,NA,NA,20,0,20,0,20,0,20,0,20,0,20,0,EN-GB,British,£,0.067,allofirst,secondletter,J,H,allocator,min_in,Group J,20,20,1.34
p167,4/4/22,3:36:00,4/4/22,3:51:59,100,958,EN-GB,NA,NA,NA,NA,NA,NA,10,10,15,5,16,4,16,4,18,2,15,5,EN-GB,British,£,0.067,allofirst,secondletter,N,L,allocator,nat_in,your national group,16,16,1.072
p168,4/4/22,3:40:12,4/4/22,3:52:15,100,722,EN-GB,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,10,10,10,10,10,10,EN-GB,British,£,0.067,attfirst,secondletter,M,K,recipient,nat_in_out,another national group,10,10,0.67
p169,4/4/22,3:42:16,4/4/22,3:52:25,100,608,EN-GB,15,5,15,5,12,8,NA,NA,NA,NA,NA,NA,15,5,15,5,10,10,EN-GB,British,£,0.067,allofirst,firstletter,H,J,allocator,min_out,Group J,15,15,1.005
p170,4/4/22,3:42:13,4/4/22,3:52:31,100,617,EN-GB,12,8,20,0,15,5,NA,NA,NA,NA,NA,NA,12,8,12,8,8,12,EN-GB,British,£,0.067,attfirst,firstletter,H,J,allocator,min_out,Group J,20,20,1.34
p171,4/4/22,3:35:17,4/4/22,3:52:34,100,1037,EN-GB,NA,NA,NA,NA,NA,NA,20,0,20,0,10,10,20,0,20,0,10,10,EN-GB,British,£,0.067,allofirst,secondletter,S,P,recipient,nat_in_out,another national group,10,10,0.67
p172,4/4/22,3:42:22,4/4/22,3:52:48,100,625,EN-GB,NA,NA,NA,NA,NA,NA,12,8,15,5,13,7,13,7,13,7,10,10,EN-GB,British,£,0.067,attfirst,secondletter,J,H,recipient,nat_out_self,another national group,10,10,0.67
p173,4/4/22,3:41:43,4/4/22,3:52:51,100,668,EN-GB,10,10,15,5,10,10,NA,NA,NA,NA,NA,NA,15,5,20,0,15,5,EN-GB,British,£,0.067,allofirst,firstletter,L,N,recipient,nat_out_self,another national group,10,10,0.67
p174,4/4/22,3:35:27,4/4/22,3:52:57,100,1049,EN-GB,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,10,10,10,10,10,10,EN-GB,British,£,0.067,attfirst,secondletter,N,L,allocator,min_out,Group L,10,10,0.67
p175,4/4/22,3:39:59,4/4/22,3:53:31,100,812,EN-GB,NA,NA,NA,NA,NA,NA,15,5,15,5,10,10,15,5,15,5,10,10,EN-GB,British,£,0.067,allofirst,secondletter,S,P,recipient,nat_in_out,another national group,10,10,0.67
p176,4/4/22,3:38:06,4/4/22,3:54:12,100,965,EN-GB,10,10,20,0,15,5,NA,NA,NA,NA,NA,NA,10,10,20,0,20,0,EN-GB,British,£,0.067,attfirst,firstletter,H,J,allocator,min_in,Group H,10,10,0.67
p177,4/4/22,3:40:44,4/4/22,3:54:13,100,808,EN-GB,NA,NA,NA,NA,NA,NA,12,8,15,5,15,5,15,5,10,10,8,12,EN-GB,British,£,0.067,attfirst,secondletter,N,L,allocator,nat_out,another national group,10,10,0.67
p178,4/4/22,3:37:24,4/4/22,3:54:30,100,1026,EN-GB,NA,NA,NA,NA,NA,NA,20,0,20,0,20,0,20,0,20,0,10,10,EN-GB,British,£,0.067,allofirst,secondletter,J,H,recipient,nat_in_out,another national group,10,10,0.67
